EX_RL,RL,EX_RT,RT,nu_RL,nu_RT,q,Q2
16.2925,36.00072,18.814,12.7008,0.01725895770169394,0.0197762874599352,0.148,0.02
16.30048,34.618500000000004,18.966,14.112,0.01726692539664398,0.01992801798618515,0.148,0.02
16.34568,33.14775600000001,19.102999999999998,15.7752,0.0173120555918409,0.02006477334365186,0.148,0.02
16.368170000000003,32.288579999999996,19.224999999999998,17.8092,0.0173345107915388,0.02018655408097736,0.148,0.02
16.37488,31.198644,19.362000000000002,20.088,0.0173412103999766,0.02032330628116874,0.148,0.02
16.3798,28.275984,19.507,22.1832,0.0173461227779832,0.020468042192201,0.148,0.02
16.40408,29.257056,19.659,23.7672,0.01737036513218726,0.02061976334583804,0.148,0.02
16.4424,26.703648,19.831999999999997,23.6916,0.01740862561076995,0.02079244347353715,0.148,0.02
16.47061,25.747272000000002,19.958,20.1384,0.01743679170938073,0.02091820882713691,0.148,0.02
16.48508,24.63858,20.025000000000002,17.8092,0.01745123916316338,0.02098508347966366,0.148,0.02
16.49939,23.36886,20.084999999999997,15.7428,0.01746552684791247,0.02104497088925861,0.148,0.02
16.52146,22.090284,20.246,13.7988,0.01748756239584282,0.02120566718908101,0.148,0.02
16.53304,20.6766,20.406,13.446,0.01749912430169509,0.02136536309089365,0.148,0.02
16.57348,19.635264,20.573,13.032,0.01753950101914548,0.02153204325966485,0.148,0.02
16.60552,17.616923999999997,20.746000000000002,11.764800000000001,0.01757149077795006,0.02170470932158253,0.148,0.02
16.69661,15.710508,20.908,11.4804,0.01766243744245877,0.02186639420310321,0.148,0.02
16.81364,14.201784,21.076,12.2004,0.01777928220452196,0.02203406494819582,0.148,0.02
16.99144,14.455116,21.243000000000002,13.2012,0.01795679844469689,0.02220073516541987,0.148,0.02
17.172159999999998,13.709088,21.410999999999998,14.324399999999999,0.01813722714043919,0.0223684009053926,0.148,0.02
17.32129,13.316075999999999,21.58,14.958,0.01828611456674167,0.02253706212340667,0.148,0.02
17.43204,12.631176,21.741,15.166799999999999,0.01839668314051934,0.02269773701620892,0.148,0.02
17.60434,12.00888,21.913999999999998,15.3432,0.01856869871479994,0.02287038510847239,0.148,0.02
17.78244,12.572424,22.081,15.670799999999998,0.01874650193706984,0.02303704288134334,0.148,0.02
17.88712,13.955472,22.297,15.811200000000001,0.01885100618562419,0.02325259656258361,0.148,0.02
17.93922,15.00138,22.462,16.0488,0.01890301834931485,0.02341725283010909,0.148,0.02
18.01469,16.103268,22.634999999999998,16.135199999999998,0.01897836068463654,0.02358988983260346,0.148,0.02
18.149140000000003,17.335872,22.799,15.966000000000001,0.0191125819936282,0.02375354326276913,0.148,0.02
18.22356,18.229823999999997,22.959,15.498,0.01918687471813207,0.02391320284173659,0.148,0.02
18.394750000000002,19.29114,23.132,15.6852,0.01935777007236616,0.02408583220107374,0.148,0.02
18.5031,18.075456,23.3,16.1784,0.01946593223663307,0.02425346972652598,0.148,0.02
18.64583,17.424936,23.498,16.362000000000002,0.01960841320502738,0.02445103930385528,0.148,0.02
18.81521,16.971515999999998,23.695999999999998,15.4188,0.01977749532290041,0.02464860539684999,0.148,0.02
18.99293,17.141436,23.854,14.6844,0.01995490002884459,0.0248062566483771,0.148,0.02
19.19229,17.179092,24.02,13.9536,0.02015390299847652,0.02497188785190119,0.148,0.02
19.37231,17.03556,24.188000000000002,13.269599999999999,0.02033359756531006,0.02513951211891374,0.148,0.02
19.42033,17.660088000000002,24.355999999999998,12.1572,0.02038153026945189,0.02530713387792538,0.148,0.02
19.58814,18.368568,24.519,12.2544,0.02054903359537974,0.02546976449706939,0.148,0.02
19.63958,19.30122,24.686,13.114799999999999,0.02060037908666601,0.02563638360331666,0.148,0.02
19.79279,20.982096,24.854000000000003,13.6044,0.02075330620511551,0.02580399792856092,0.148,0.02
19.94198,22.523580000000003,25.021,14.2632,0.02090221873912057,0.02597061206427931,0.148,0.02
20.02317,23.41962,25.189,14.335199999999999,0.02098325690863767,0.0261382213894521,0.148,0.02
20.184520000000003,24.1506,25.356,14.562000000000001,0.02114430343318752,0.0263048305550857,0.148,0.02
20.2858,25.524611999999998,25.524,15.1308,0.02124539175742868,0.02647243488063644,0.148,0.02
20.34248,26.714556,25.691,15.5484,0.02130196409044061,0.02663903907662757,0.148,0.02
20.417569999999998,28.203084,25.881999999999998,16.3476,0.02137691101250461,0.02682958335377883,0.148,0.02
20.47766,29.833668,26.032,16.3296,0.02143688615458927,0.02697922318466439,0.148,0.02
20.52541,30.971700000000002,26.194,15.6384,0.02148454465472227,0.02714083195744621,0.148,0.02
20.60181,32.269932000000004,26.362,14.8644,0.02156079783310183,0.02730842377843778,0.148,0.02
20.647180000000002,33.626771999999995,26.529,14.6736,0.02160608039764966,0.02747501554485687,0.148,0.02
20.71588,34.995383999999994,26.697,14.346,0.02167464765294014,0.02764260236779137,0.148,0.02
20.80708,36.492479999999986,26.863999999999997,14.616,0.02176567078436697,0.02780918916612585,0.148,0.02
20.82604,37.506888000000004,27.042,14.1408,0.0217845939214385,0.02798674602107454,0.148,0.02
20.89817,38.599416,27.253,14.0436,0.02185658339070073,0.02819721707591683,0.148,0.02
20.95254,39.70188,27.442999999999998,13.9608,0.02191084715588332,0.02838673739220887,0.148,0.02
21.0406,41.17788,27.641,14.4072,0.02199873453564294,0.02858423410095234,0.148,0.02
21.05759,42.664032,27.794,14.238000000000001,0.02201569115150903,0.02873684281022193,0.148,0.02
21.11271,43.39317600000001,27.961,13.914,0.02207070266790723,0.0289034133430448,0.148,0.02
21.16058,44.655048,28.122999999999998,13.4208,0.02211847823405932,0.02906499436850751,0.148,0.02
21.22355,46.08126,28.291,13.0068,0.02218132370186332,0.02923255741576902,0.148,0.02
21.25007,47.522771999999996,28.459000000000003,12.834,0.02220779114923488,0.02940011795777764,0.148,0.02
21.33324,49.77072,28.631,12.8916,0.02229079593204197,0.02957166544118017,0.148,0.02
21.384960000000003,51.57144,28.822,12.852,0.02234241288006444,0.02976215986046071,0.148,0.02
21.42763,52.812647999999996,28.994,13.028400000000001,0.02238499768110636,0.02993370180248789,0.148,0.02
21.50431,54.391716,29.152,12.942,0.0224615241676549,0.03009127871467676,0.148,0.02
21.55984,55.54602,29.317,12.8412,0.02251694267010151,0.03025583451769798,0.148,0.02
21.62536,56.976623999999994,29.483999999999998,12.783600000000002,0.02258233076120142,0.03042238247649287,0.148,0.02
21.72073,58.047624,29.645999999999997,12.6792,0.02267750807423319,0.03058394160475686,0.148,0.02
21.871560000000002,58.46454,29.82,12.4452,0.02282803168408698,0.03075746548206837,0.148,0.02
22.03228,59.108076000000004,30.009999999999998,12.1284,0.02298842297767933,0.03094694250980901,0.148,0.02
22.04556,58.304555999999984,30.216,12.4632,0.02300167571454459,0.03115237187897257,0.148,0.02
22.23309,57.785903999999995,30.414,12.556799999999999,0.02318881905130787,0.03134981986020513,0.148,0.02
22.268449999999998,56.847924,30.586,12.4884,0.02322410579308176,0.03152133750589847,0.148,0.02
22.43168,55.70424,30.756999999999998,12.51,0.02338699617507345,0.03169185535445429,0.148,0.02
