E0,ThetaDeg,nu,A,Z,CS_qe,CS_mec,CS_inel,cross,,
0.2411,90,1.86E-02,12,6,2962.09689,17.90529134,0,2980.002181,,
0.2411,90,2.36E-02,12,6,4230.189618,45.65161525,0,4275.841234,,
0.2411,90,2.86E-02,12,6,5432.454191,74.3173098,0,5506.771501,,
0.2411,90,3.36E-02,12,6,6505.210397,103.8570046,0,6609.067401,,
0.2411,90,3.86E-02,12,6,7779.594539,134.16058,0,7913.755119,,
0.2411,90,4.36E-02,12,6,8843.610365,165.1125889,0,9008.722954,,
0.2411,90,4.86E-02,12,6,9631.189598,196.6044396,0,9827.794037,,
0.2411,90,5.36E-02,12,6,10123.9658,228.5211694,0,10352.48696,,
0.2411,90,5.86E-02,12,6,10324.88433,260.7429034,0,10585.62723,,
0.2411,90,6.36E-02,12,6,10254.14823,293.1465802,0,10547.29481,,
0.2411,90,6.86E-02,12,6,9944.086882,325.6093001,0,10269.69618,,
0.2411,90,7.36E-02,12,6,9434.141136,0.622165495,0,9434.763301,,
0.2411,90,7.86E-02,12,6,8766.78135,0.70996769,0,8767.491318,,
0.2411,90,8.36E-02,12,6,7984.680643,443.6582518,0,8428.338894,,
0.2411,90,8.86E-02,12,6,7128.985948,478.9275646,0,7607.913513,,
0.2411,90,9.36E-02,12,6,6238.261453,513.1421744,0,6751.403627,,
0.2411,90,9.86E-02,12,6,5347.672028,546.4913565,0,5894.163384,,
0.2411,90,0.1036,12,6,4488.136757,579.150476,0,5067.287233,,
0.2411,90,0.1086,12,6,3685.39398,611.2748649,0,4296.668845,,
0.2411,90,0.1136,12,6,2959.096311,642.9953729,0,3602.091684,,
0.2411,90,0.1186,12,6,2322.154416,674.4156461,0,2996.570062,,
0.2411,90,0.1236,12,6,1780.555817,705.6110968,0,2486.166914,,
0.2411,90,0.1286,12,6,1333.804536,736.6294513,0,2070.433987,,
0.2411,90,0.1336,12,6,975.9859841,767.4927114,0,1743.478696,,
0.2411,90,0.1386,12,6,697.3053338,798.2003316,0,1495.505665,,
0.2411,145,8.60E-03,12,6,0,4.67E-02,0,4.67E-02,,
0.2411,145,1.36E-02,12,6,14.95751224,5.02E-02,0,15.00772512,,
0.2411,145,1.86E-02,12,6,96.10382171,5.30E-02,0,96.15678667,,
0.2411,145,2.36E-02,12,6,190.2551105,5.49E-02,0,190.3099955,,
0.2411,145,2.86E-02,12,6,299.2309583,5.59E-02,0,299.2868535,,
0.2411,145,3.36E-02,12,6,424.2111027,2.504950325,0,426.716053,,
0.2411,145,3.86E-02,12,6,613.3190181,9.500281656,0,622.8192998,,
0.2411,145,4.36E-02,12,6,824.7956593,17.15653433,0,841.9521936,,
0.2411,145,4.86E-02,12,6,1049.630855,25.52102219,0,1075.151877,,
0.2411,145,5.36E-02,12,6,1279.632783,34.63934385,0,1314.272127,,
0.2411,145,5.86E-02,12,6,1504.29614,44.55429609,0,1548.850436,,
0.2411,145,6.36E-02,12,6,1712.127992,55.30468038,0,1767.432672,,
0.2411,145,6.86E-02,12,6,1892.231401,66.92400839,0,1959.155409,,
0.2411,145,7.36E-02,12,6,2035.715032,79.43924596,0,2115.154278,,
0.2411,145,7.86E-02,12,6,2136.585805,92.86894262,0,2229.454748,,
0.2411,145,8.36E-02,12,6,2191.998563,107.221714,0,2299.220277,,
0.2411,145,8.86E-02,12,6,2201.967472,122.4959068,0,2324.463378,,
0.2411,145,9.36E-02,12,6,2168.779639,138.6786659,0,2307.458305,,
0.2411,145,9.86E-02,12,6,2096.356412,155.7450159,0,2252.101428,,
0.2411,145,0.1036,12,6,1989.723005,173.6575081,0,2163.380513,,
0.2411,145,0.1086,12,6,1854.640113,192.3664172,0,2047.00653,,
0.2411,145,0.1136,12,6,1697.369985,211.8102886,0,1909.180274,,
0.2411,145,0.1186,12,6,1524.509727,231.9165221,0,1756.426249,,
0.2411,145,0.1236,12,6,1342.820905,252.6062915,0,1595.427196,,
0.2411,145,0.1286,12,6,1159.004661,273.7914684,0,1432.796129,,
0.2411,145,0.1336,12,6,979.4043292,295.352969,0,1274.757298,,
0.2411,145,0.1386,12,6,809.6539642,317.1733507,0,1126.827315,,
0.2801,90,7.60E-03,12,6,0,0,0,0,,
0.2801,90,1.26E-02,12,6,277.0732696,0,0,277.0732696,,
0.2801,90,1.76E-02,12,6,762.458277,0,0,762.458277,,
0.2801,90,2.26E-02,12,6,1291.438584,0,0,1291.438584,,
0.2801,90,2.76E-02,12,6,1856.963955,10.45086672,0,1867.414822,,
0.2801,90,3.26E-02,12,6,2445.78188,27.46685775,0,2473.248737,,
0.2801,90,3.76E-02,12,6,3201.428577,45.51330006,0,3246.941877,,
0.2801,90,4.26E-02,12,6,4006.186949,64.59339376,0,4070.780343,,
0.2801,90,4.76E-02,12,6,4761.760281,84.70756281,0,4846.467844,,
0.2801,90,5.26E-02,12,6,5434.730881,105.850428,0,5540.581309,,
0.2801,90,5.76E-02,12,6,5997.175013,128.0103873,0,6125.185401,,
0.2801,90,6.26E-02,12,6,6429.430675,151.1692984,0,6580.599973,,
0.2801,90,6.76E-02,12,6,6721.021678,175.3022756,0,6896.323954,,
0.2801,90,7.26E-02,12,6,6870.040117,200.3776117,0,7070.417728,,
0.2801,90,7.76E-02,12,6,6881.629989,226.3568298,0,7107.986819,,
0.2801,90,8.26E-02,12,6,6766.20639,253.1948673,0,7019.401257,,
0.2801,90,8.76E-02,12,6,6537.835115,280.8403912,0,6818.675506,,
0.2801,90,9.26E-02,12,6,6212.95372,309.2362368,0,6522.189957,,
0.2801,90,9.76E-02,12,6,5809.434592,338.3199613,0,6147.754553,,
0.2801,90,0.1026,12,6,5345.896487,368.0244961,0,5713.920983,,
0.2801,90,0.1076,12,6,4841.14641,398.2788802,0,5239.42529,,
0.2801,90,0.1126,12,6,4313.652228,429.0090503,0,4742.661278,,
0.2801,90,0.1176,12,6,3780.986622,460.1386623,0,4241.125284,,
0.2801,90,0.1226,12,6,3259.230292,491.5899124,0,3750.820204,,
0.2801,90,0.1276,12,6,2762.366684,523.284322,0,3285.651006,,
0.2801,90,0.1326,12,6,2301.733864,555.1434476,0,2856.877312,,
0.2801,90,0.1376,12,6,1885.614901,587.0894706,0,2472.704372,,
0.2801,90,0.1426,12,6,1519.042327,619.0456155,0,2138.087942,,
0.2801,90,0.1476,12,6,1203.865009,650.9363402,0,1854.80135,,
0.2801,90,0.1526,12,6,939.0828483,682.6872297,0,1621.770078,,
0.2801,90,0.1576,12,6,721.4062284,714.2245179,0,1435.630746,,
0.2801,90,0.1626,12,6,545.9559636,745.4741436,1.824118828,1293.254226,,
0.2801,90,0.1676,12,6,406.9967564,776.3602331,6.750061299,1190.107051,,
0.2801,90,0.1726,12,6,298.5993571,806.8028765,15.3217933,1120.724027,,
0.2801,90,0.1776,12,6,215.1523747,836.7162726,28.25924128,1080.127889,,
0.2801,145,2.26E-02,12,6,25.36488992,2.24E-02,0,25.38733103,,
0.2801,145,2.76E-02,12,6,50.98806466,3.99E-02,0,51.0279469,,
0.2801,145,3.26E-02,12,6,81.97756967,6.19E-02,0,82.03942985,,
0.2801,145,3.76E-02,12,6,130.8380181,0.425457976,0,131.2634761,,
0.2801,145,4.26E-02,12,6,194.391001,3.722915516,0,198.1139165,,
0.2801,145,4.76E-02,12,6,270.5224742,7.354370541,0,277.8768447,,
