A,Z,nu,E0,ThetaDeg,cross,error,dataSet
12,6,0.0325,0.44,60,3140,124.2236692,1
12,6,0.0325,0.2,60,74080,5050.536178,1
12,6,0.0326,0.2801,90,2840,140.2808612,1
12,6,0.0326,0.2801,145,290,18.05325455,1
12,6,0.0328,0.3203,60,20770,823.2080417,1
12,6,0.0328,0.2803,60,31910,1282.340719,1
12,6,0.0329,0.2404,60,48900,2197.601419,1
12,6,0.033,0.4005,90,170,11.60517126,1
12,6,0.0332,0.3207,90,1230,65.6923131,1
12,6,0.0334,0.3609,60,10600,413.4392337,1
12,6,0.0334,0.1609,60,101000,8140.251839,1
12,6,0.0335,0.401,60,5830,229.9710416,1
12,6,0.0336,0.2411,90,6010,288.6938171,1
12,6,0.0336,0.2411,145,652,37.55162846,1
12,6,0.0349,0.1999,90,12570,693.690046,1
12,6,0.0349,0.1999,145,1822,97.26058194,1
12,6,0.0351,0.3601,90,490,34.46911661,1
12,6,0.0351,0.3201,145,52,3.499257064,1
12,6,0.0372,0.1597,90,22540,1620.512857,1
12,6,0.0372,0.1597,145,4030,227.791747,1
12,6,0.0373,0.4798,60,1770,73.20846945,1
12,6,0.0375,0.48,36,76930,3923.808084,1
12,6,0.0375,0.4,36,139800,7757.348001,1
12,6,0.0375,0.32,36,204300,13452.1295,1
12,6,0.0375,0.24,36,291200,31830.69318,1
12,6,0.0375,0.2,36,375600,54942.8324,1
12,6,0.0375,0.62,60,90,10.4747315,1
12,6,0.0375,0.44,60,3640,139.6406818,1
12,6,0.0375,0.2,60,68520,4798.217219,1
12,6,0.0376,0.2801,90,3580,187.028554,1
12,6,0.0376,0.2801,145,250,19.97498435,1
12,6,0.0378,0.3203,60,21380,846.537229,1
12,6,0.0378,0.2803,60,34420,1387.726082,1
12,6,0.0379,0.2404,60,47980,2173.130572,1
12,6,0.038,0.4005,90,170,11.60517126,1
12,6,0.0382,0.3207,90,1630,82.39101893,1
12,6,0.0384,0.3609,60,11880,462.0187009,1
12,6,0.0384,0.1609,60,84780,7407.103218,1
12,6,0.0385,0.401,60,6940,273.3062751,1
12,6,0.0386,0.2411,90,6790,322.0635341,1
12,6,0.0386,0.2411,145,908,50.88572295,1
12,6,0.0399,0.1999,90,14300,801.4287242,1
12,6,0.0399,0.1999,145,2130,116.3798952,1
12,6,0.0401,0.3601,90,640,29.85833217,1
12,6,0.0401,0.3201,145,51,4.372779436,1
12,6,0.0413,0.5188,60,1040,53.83233229,1
12,6,0.0419,0.4794,90,20,2.116601048,1
12,6,0.0422,0.1597,90,21370,1583.670509,1
12,6,0.0422,0.1597,145,4900,277.8704734,1
12,6,0.0423,0.4798,60,2250,87.60707734,1
12,6,0.0425,0.68,36,14740,795.5005468,1
12,6,0.0425,0.62,36,25880,1291.754342,1
12,6,0.0425,0.56,36,44090,2176.054623,1
12,6,0.0425,0.48,36,82520,4015.452711,1
12,6,0.0425,0.4,36,132400,7449.336346,1
12,6,0.0425,0.32,36,188000,12585.93262,1
12,6,0.0425,0.24,36,260000,29441.48264,1
12,6,0.0425,0.2,36,276200,48365.8126,1
12,6,0.0425,0.56,60,480,26.00922913,1
12,6,0.0425,0.44,60,4360,166.4677747,1
12,6,0.0425,0.2,60,64950,4650.49492,1
12,6,0.0426,0.2801,90,3960,188.9918517,1
