 ################ 1 Barreau:1983ht             1
##################### 2 O'Connell:1987ag           1
#  3 Sealock:1989nx             1
################## 4 Baran:1988tw               1
# 5 Bagdasaryan:1988hp         0
# 6 Dai - HallA:2019da            1
# 7 Arrington:1995hs           1
 8 Day:1993md                 1
 9 Arrington:1998psnoCC       0
10 Gaskell:2008               1
11 Whitney:1974hr             0
12 AlsamiJan05                  1
13 VaheJun07                  1
14 E139                       0
15 Fomin                      0
16 Yamaguchi73
17 Ryan84
18 Cyzyk63
19 Bounin63
20 Spanner
21 Mihovilovic:2024ymj
Bosted:1992fy                           set =           25
 Rock-pc                                 set =           26
 Tvaskis:2006                            set =           27
 GarinoBates:1992                        set =           28
 Day:1993md                              set =           29
 YaLIJan05:2005                          set =           30
 VaheJun07: 2007                         set =           31
 E139                                    set =           32
 MurphyHallA:2019                        set =           33
 Franz:1981cw                            set =           34
   Z   A     E        theta     Nu      CS           err        set
      6     12   0.2411 145.0000   0.0736 0.2182E+04 0.8100E+02   1
      6     12   0.2411 145.0000   0.0780 0.2410E+04 0.9000E+02   1
      6     12   0.2411 145.0000   0.0836 0.2630E+04 0.1020E+03   1
      6     12   0.2411 145.0000   0.0886 0.2657E+04 0.1020E+03   1
      6     12   0.2411 145.0000   0.0936 0.2704E+04 0.1060E+03   1
      6     12   0.2411 145.0000   0.0986 0.2613E+04 0.1140E+03   1
      6     12   0.2411 145.0000   0.1036 0.2613E+04 0.1140E+03   1
      6     12   0.2411 145.0000   0.1086 0.2400E+04 0.1100E+03   1
      6     12   0.2411 145.0000   0.1136 0.2322E+04 0.1110E+03   1
      6     12   0.2411 145.0000   0.1186 0.2063E+04 0.1010E+03   1
      6     12   0.2411 145.0000   0.1236 0.1824E+04 0.1000E+03   1
      6     12   0.2411 145.0000   0.1286 0.1582E+04 0.1000E+03   1
      6     12   0.2411 145.0000   0.1336 0.1491E+04 0.9200E+02   1
      6     12   0.2411 145.0000   0.1386 0.1253E+04 0.8700E+02   1
      6     12   0.2801  90.0000   0.0076 0.1400E+03 0.2000E+02   1
      6     12   0.2801  90.0000   0.0126 0.1540E+04 0.7000E+02   1
      6     12   0.2801  90.0000   0.0176 0.9300E+03 0.6000E+02   1
      6     12   0.2801  90.0000   0.0226 0.1910E+04 0.7000E+02   1
      6     12   0.2801  90.0000   0.0276 0.3320E+04 0.1100E+03   1
      6     12   0.2801  90.0000   0.0326 0.2840E+04 0.1000E+03   1
      6     12   0.2801  90.0000   0.0376 0.3580E+04 0.1400E+03   1
      6     12   0.2801  90.0000   0.0426 0.3960E+04 0.1300E+03   1
      6     12   0.2801  90.0000   0.0476 0.4600E+04 0.1400E+03   1
      6     12   0.2801  90.0000   0.0526 0.5220E+04 0.1500E+03   1
      6     12   0.2801  90.0000   0.0576 0.5690E+04 0.1700E+03   1
      6     12   0.2801  90.0000   0.0622 0.6180E+04 0.1900E+03   1
      6     12   0.2801  90.0000   0.0676 0.6630E+04 0.2100E+03   1
      6     12   0.2801  90.0000   0.0725 0.6810E+04 0.2100E+03   1
      6     12   0.2801  90.0000   0.0776 0.7150E+04 0.2300E+03   1
      6     12   0.2801  90.0000   0.0826 0.7210E+04 0.2500E+03   1
      6     12   0.2801  90.0000   0.0876 0.6950E+04 0.2400E+03   1
      6     12   0.2801  90.0000   0.0926 0.6680E+04 0.2300E+03   1
      6     12   0.2801  90.0000   0.0976 0.6410E+04 0.2300E+03   1
      6     12   0.2801  90.0000   0.1026 0.5950E+04 0.2400E+03   1
      6     12   0.2801  90.0000   0.1076 0.5370E+04 0.2300E+03   1
      6     12   0.2801  90.0000   0.1126 0.4620E+04 0.2200E+03   1
      6     12   0.2801  90.0000   0.1176 0.4410E+04 0.2100E+03   1
      6     12   0.2801  90.0000   0.1226 0.3810E+04 0.2100E+03   1
      6     12   0.2801  90.0000   0.1276 0.3350E+04 0.1900E+03   1
      6     12   0.2801  90.0000   0.1326 0.2920E+04 0.1800E+03   1
      6     12   0.2801  90.0000   0.1376 0.2500E+04 0.1800E+03   1
      6     12   0.2801  90.0000   0.1426 0.2350E+04 0.1800E+03   1
      6     12   0.2801  90.0000   0.1476 0.2040E+04 0.1700E+03   1
      6     12   0.2801  90.0000   0.1526 0.1850E+04 0.1800E+03   1
      6     12   0.2801  90.0000   0.1576 0.1710E+04 0.1800E+03   1
      6     12   0.2801  90.0000   0.1626 0.1530E+04 0.1800E+03   1
      6     12   0.2801  90.0000   0.1676 0.1550E+04 0.2100E+03   1
      6     12   0.2801  90.0000   0.1726 0.1510E+04 0.2200E+03   1
      6     12   0.2801  90.0000   0.1776 0.1230E+04 0.2300E+03   1
      6     12   0.2801 145.0000   0.0226 0.8000E+01 0.5000E+01   1
      6     12   0.2801 145.0000   0.0276 0.7500E+02 0.7000E+01   1
      6     12   0.2801 145.0000   0.0326 0.2900E+03 0.1500E+02   1
      6     12   0.2801 145.0000   0.0376 0.2500E+03 0.1800E+02   1
      6     12   0.2801 145.0000   0.0426 0.3540E+03 0.1700E+02   1
      6     12   0.2801 145.0000   0.0476 0.4340E+03 0.1800E+02   1
      6     12   0.2801 145.0000   0.0526 0.5520E+03 0.1900E+02   1
      6     12   0.2801 145.0000   0.0576 0.7200E+03 0.2800E+02   1
      6     12   0.2801 145.0000   0.0626 0.8100E+03 0.3000E+02   1
      6     12   0.2801 145.0000   0.0676 0.9730E+03 0.4000E+02   1
      6     12   0.2801 145.0000   0.0726 0.1042E+04 0.3700E+02   1
      6     12   0.2801 145.0000   0.0776 0.1190E+04 0.4100E+02   1
      6     12   0.2801 145.0000   0.0826 0.1322E+04 0.5300E+02   1
      6     12   0.2801 145.0000   0.0876 0.1518E+04 0.5100E+02   1
      6     12   0.2801 145.0000   0.0926 0.1584E+04 0.5400E+02   1
      6     12   0.2801 145.0000   0.0976 0.1672E+04 0.5600E+02   1
      6     12   0.2801 145.0000   0.1026 0.1811E+04 0.6500E+02   1
      6     12   0.2801 145.0000   0.1076 0.1860E+04 0.6800E+02   1
      6     12   0.2801 145.0000   0.1126 0.1892E+04 0.7100E+02   1
      6     12   0.2801 145.0000   0.1276 0.1891E+04 0.7600E+02   1
      6     12   0.2801 145.0000   0.1326 0.1753E+04 0.7700E+02   1
      6     12   0.2801 145.0000   0.1376 0.1702E+04 0.8200E+02   1
      6     12   0.2801 145.0000   0.1426 0.1550E+04 0.8100E+02   1
      6     12   0.2801 145.0000   0.1476 0.1448E+04 0.7500E+02   1
      6     12   0.2801 145.0000   0.1526 0.1303E+04 0.7600E+02   1
      6     12   0.2801 145.0000   0.1576 0.1156E+04 0.6500E+02   1
      6     12   0.2801 145.0000   0.1626 0.1048E+04 0.6200E+02   1
      6     12   0.2801 145.0000   0.1676 0.8970E+03 0.6100E+02   1
      6     12   0.2801 145.0000   0.1726 0.9220E+03 0.6100E+02   1
      6     12   0.2801 145.0000   0.1776 0.8630E+03 0.6200E+02   1
      6     12   0.3201  90.0000   0.0082 0.2300E+03 0.2000E+02   1
      6     12   0.3201  90.0000   0.0132 0.2200E+03 0.1000E+02   1
      6     12   0.3201  90.0000   0.0182 0.3300E+03 0.3000E+02   1
      6     12   0.3201  90.0000   0.0232 0.6000E+03 0.3000E+02   1
      6     12   0.3201  90.0000   0.0282 0.1520E+04 0.6000E+02   1
      6     12   0.3201  90.0000   0.0332 0.1230E+04 0.5000E+02   1
      6     12   0.3201  90.0000   0.0382 0.1630E+04 0.6000E+02   1
      6     12   0.3201  90.0000   0.0432 0.1950E+04 0.7000E+02   1
      6     12   0.3201  90.0000   0.0482 0.2260E+04 0.9000E+02   1
      6     12   0.3201  90.0000   0.0532 0.2730E+04 0.1000E+03   1
      6     12   0.3201  90.0000   0.0582 0.3100E+04 0.1200E+03   1
      6     12   0.3201  90.0000   0.0632 0.3550E+04 0.1300E+03   1
      6     12   0.3201  90.0000   0.0682 0.3820E+04 0.1400E+03   1
      6     12   0.3201  90.0000   0.0732 0.4190E+04 0.1600E+03   1
      6     12   0.3201  90.0000   0.0782 0.4480E+04 0.1700E+03   1
      6     12   0.3201  90.0000   0.0832 0.4790E+04 0.1900E+03   1
      6     12   0.3201  90.0000   0.0882 0.4970E+04 0.2000E+03   1
      6     12   0.3201  90.0000   0.0932 0.5210E+04 0.2100E+03   1
      6     12   0.3201  90.0000   0.0982 0.5330E+04 0.2200E+03   1
      6     12   0.3201  90.0000   0.1032 0.5230E+04 0.2200E+03   1
      6     12   0.3201  90.0000   0.1082 0.5240E+04 0.2200E+03   1
      6     12   0.3201  90.0000   0.1132 0.5030E+04 0.2200E+03   1
      6     12   0.3201  90.0000   0.1182 0.4750E+04 0.2100E+03   1
      6     12   0.3201  90.0000   0.1232 0.4410E+04 0.2100E+03   1
      6     12   0.3201  90.0000   0.1282 0.4130E+04 0.2000E+03   1
      6     12   0.3201  90.0000   0.1332 0.3760E+04 0.1900E+03   1
      6     12   0.3201  90.0000   0.1382 0.3380E+04 0.1800E+03   1
      6     12   0.3201  90.0000   0.1432 0.3040E+04 0.1700E+03   1
      6     12   0.3201  90.0000   0.1482 0.2720E+04 0.1600E+03   1
      6     12   0.3201  90.0000   0.1532 0.2470E+04 0.1500E+03   1
      6     12   0.3201  90.0000   0.1582 0.2190E+04 0.1500E+03   1
      6     12   0.3201  90.0000   0.1632 0.2040E+04 0.1500E+03   1
      6     12   0.3201  90.0000   0.1682 0.1800E+04 0.1400E+03   1
      6     12   0.3201  90.0000   0.1732 0.1690E+04 0.1400E+03   1
      6     12   0.3201  90.0000   0.1782 0.1620E+04 0.1400E+03   1
      6     12   0.3201  90.0000   0.1832 0.1510E+04 0.1500E+03   1
      6     12   0.3201  90.0000   0.1882 0.1500E+04 0.1600E+03   1
      6     12   0.3201  90.0000   0.1932 0.1510E+04 0.1600E+03   1
      6     12   0.3201  90.0000   0.1982 0.1450E+04 0.1700E+03   1
      6     12   0.3201  90.0000   0.2032 0.1500E+04 0.1900E+03   1
