A,Z,nu,E0,ThetaDeg,cross,error,dataSet
12,6,0.01581,0.25,35.0,220000.0,9070.832376340684,16
12,6,0.01581,0.25,35.0,235000.0,9689.298219903852,16
12,6,0.01591,0.25,35.0,260000.0,10720.07462642545,16
12,6,0.01689,0.0888,135.0,14620.0,839.9420991499293,16
12,6,0.01601,0.25,35.0,280000.0,11544.695750593359,16
12,6,0.01601,0.25,35.0,294000.0,12121.93053943474,16
12,6,0.015,0.0809,135.0,14060.0,1469.8203563384784,18
12,6,0.01621,0.25,35.0,310000.0,12781.627435970746,16
12,6,0.01719,0.0888,135.0,13800.0,792.6626078825736,16
12,6,0.01641,0.25,35.0,298000.0,12286.85476356874,16
12,6,0.01739,0.0888,135.0,11580.0,665.2203545008119,16
12,6,0.0155,0.0809,135.0,12720.0,1124.1279815865869,18
12,6,0.01661,0.25,35.0,281000.0,11585.926804440673,16
12,6,0.01661,0.25,35.0,296000.0,12204.392655874113,16
12,6,0.01759,0.0888,135.0,8669.0,498.03965581864475,16
12,6,0.01671,0.25,35.0,318000.0,13111.475892983495,16
12,6,0.01681,0.25,35.0,372000.0,15337.952923164894,16
12,6,0.01681,0.25,35.0,352000.0,14513.331802494884,16
12,6,0.01691,0.25,35.0,390000.0,16080.111936140278,16
12,6,0.01691,0.25,35.0,408000.0,16822.270949115657,16
12,6,0.01701,0.25,35.0,435000.0,17935.509472951104,16
12,6,0.01789,0.0888,135.0,7481.0,429.7942517213721,16
12,6,0.0184,0.161,60.0,96280.0,9642.52926996701,1
12,6,0.01721,0.25,35.0,431000.0,17770.5852488171,16
12,6,0.01721,0.25,35.0,392000.0,16162.574052579652,16
12,6,0.01721,0.25,35.0,414000.0,17069.657289689036,16
12,6,0.0161,0.0809,135.0,8655.0,1190.442027317669,18
12,6,0.01809,0.0888,135.0,8197.0,470.92532022615126,16
12,6,0.01731,0.25,35.0,346000.0,14265.94546192151,16
12,6,0.01731,0.25,35.0,366000.0,15090.566591336265,16
12,6,0.01819,0.0888,135.0,9717.0,558.242672345982,16
12,6,0.01741,0.25,35.0,319000.0,13152.706946830811,16
12,6,0.01741,0.25,35.0,299000.0,12328.085817416053,16
12,6,0.01741,0.25,35.0,279000.0,11503.464696746045,16
12,6,0.01751,0.25,35.0,260000.0,10720.07462642545,16
12,6,0.01751,0.25,35.0,244000.0,10060.377726391544,16
12,6,0.01751,0.25,35.0,223000.0,9194.525544878423,16
12,6,0.01839,0.0888,135.0,11190.0,642.8165601304025,16
12,6,0.01761,0.25,35.0,196000.0,8081.287026289826,16
12,6,0.0165,0.0809,135.0,9190.0,1159.5106211975208,18
12,6,0.01771,0.25,35.0,172000.0,7091.741676238966,16
12,6,0.01859,0.0888,135.0,11730.0,673.8371984605867,16
12,6,0.0175,0.24,36.0,304100.0,42088.25784030539,1
12,6,0.01801,0.25,35.0,176000.0,7256.665901247442,16
12,6,0.01879,0.0888,135.0,12800.0,735.2169815355732,16
12,6,0.01821,0.25,35.0,179000.0,7380.359069785181,16
12,6,0.017,0.0809,135.0,10600.0,1261.155422852154,18
12,6,0.01841,0.25,35.0,178000.0,7339.128013314444,16
12,6,0.01929,0.0888,135.0,13170.0,756.5589005494201,16
12,6,0.01861,0.25,35.0,179000.0,7380.359069785181,16
12,6,0.0174,0.0809,135.0,8650.0,942.3152338930472,18
12,6,0.01871,0.25,35.0,185000.0,7627.745407735134,16
12,6,0.01881,0.25,35.0,196000.0,8081.287026289826,16
12,6,0.01959,0.0888,135.0,12330.0,708.4786588070109,16
12,6,0.01901,0.25,35.0,224000.0,9235.756601349161,16
12,6,0.01969,0.0888,135.0,14620.0,839.9420991499293,16
12,6,0.01979,0.0888,135.0,17590.0,1010.3815318658538,16
12,6,0.0179,0.0809,135.0,11140.0,996.1449091811768,18
12,6,0.01921,0.25,35.0,240000.0,9895.453501383066,16
12,6,0.01989,0.0888,135.0,18720.0,1075.4691671538008,16
12,6,0.01999,0.0888,135.0,21510.0,1235.2202560757596,16
12,6,0.01941,0.25,35.0,246000.0,10142.83983933302,16
12,6,0.02019,0.0888,135.0,21480.0,1233.9320568771307,16
12,6,0.01961,0.25,35.0,228000.0,9400.680826357639,16
12,6,0.0183,0.0809,135.0,9970.0,1193.7842016736006,18
12,6,0.01981,0.25,35.0,236000.0,9730.529276374591,16
12,6,0.02049,0.0888,135.0,17960.0,1031.8104912802387,16
12,6,0.0186,0.0809,135.0,12960.0,1013.6045974272771,18
12,6,0.02001,0.25,35.0,260000.0,10720.07462642545,16
12,6,0.02059,0.0888,135.0,16000.0,919.1300234071616,16
12,6,0.02011,0.25,35.0,278000.0,11462.23364289873,16
12,6,0.02069,0.0888,135.0,15150.0,870.127168843517,16
12,6,0.0221,0.1196,90.0,40060.0,4902.728106256935,1
12,6,0.02031,0.25,35.0,285000.0,11750.85103731942,16
12,6,0.02089,0.0888,135.0,13880.0,797.2582580468996,16
12,6,0.02051,0.25,35.0,279000.0,11503.464696746045,16
12,6,0.0191,0.0809,135.0,16480.0,995.8274548904952,18
12,6,0.02109,0.0888,135.0,13820.0,793.7244861896733,16
12,6,0.02071,0.25,35.0,274000.0,11297.309414392355,16
12,6,0.02091,0.25,35.0,276000.0,11379.771526459355,16
12,6,0.02139,0.0888,135.0,13610.0,782.0090600947209,16
12,6,0.0195,0.0809,135.0,13620.0,992.7882554077615,18
12,6,0.02101,0.25,35.0,279000.0,11503.464696746045,16
12,6,0.024,0.098,135.0,10210.0,663.1774121180107,18
12,6,0.02159,0.0888,135.0,13230.0,760.0056381520787,16
12,6,0.02121,0.25,35.0,292000.0,12039.468422995364,16
12,6,0.02179,0.0888,135.0,14060.0,807.5984707527423,16
12,6,0.02141,0.25,35.0,313000.0,12905.320606257435,16
12,6,0.02141,0.25,35.0,327000.0,13482.555395098812,16
12,6,0.02189,0.0888,135.0,15960.0,916.8321983699705,16
12,6,0.02161,0.25,35.0,371000.0,15296.721869317582,16
12,6,0.02161,0.25,35.0,354000.0,14595.793918934258,16
12,6,0.02209,0.0888,135.0,17600.0,1011.0430258322472,16
12,6,0.0202,0.0809,135.0,13580.0,1080.5707380614444,18
12,6,0.02181,0.25,35.0,390000.0,16080.111936140278,16
12,6,0.02181,0.25,35.0,405000.0,16698.577787573715,16
12,6,0.02191,0.25,35.0,424000.0,17481.967854396415,16
12,6,0.02229,0.0888,135.0,18800.0,1079.8037042629715,16
12,6,0.02201,0.25,35.0,440000.0,18141.66475093242,16
12,6,0.02211,0.25,35.0,462000.0,19048.747988041803,16
12,6,0.02249,0.0888,135.0,19610.0,1126.5957748889027,16
12,6,0.0249,0.098,135.0,11020.0,647.0249763697607,18
12,6,0.02221,0.25,35.0,484000.0,19955.83122515119,16
12,6,0.02221,0.25,35.0,499000.0,20574.29706783988,16
12,6,0.02231,0.25,35.0,522000.0,21522.611367541325,16
12,6,0.0234,0.161,60.0,147100.0,10215.656024137792,1
12,6,0.02269,0.0888,135.0,20080.0,1153.508179169283,16
12,6,0.02241,0.25,35.0,566000.0,23336.777841760093,16
12,6,0.02241,0.25,35.0,545000.0,22470.925658498025,16
12,6,0.02289,0.0888,135.0,20150.0,1157.0942051501893,16
12,6,0.02261,0.25,35.0,589000.0,24285.09213271679,16
12,6,0.021,0.0809,135.0,18980.0,1086.8382214895566,18
12,6,0.02299,0.0888,135.0,20200.0,1160.4016545620875,16
12,6,0.02281,0.25,35.0,606000.0,24986.020091844857,16
12,6,0.0225,0.24,36.0,497200.0,45745.242064942795,1
12,6,0.02301,0.25,35.0,608000.0,25068.482199539485,16
12,6,0.02329,0.0888,135.0,19920.0,1144.403919177714,16
12,6,0.0215,0.0809,135.0,18160.0,1075.5712343729833,18
12,6,0.02321,0.25,35.0,597000.0,24614.940580984796,16
12,6,0.02349,0.0888,135.0,19100.0,1097.037392714568,16
12,6,0.0259,0.098,135.0,9463.0,681.7387294228711,18
12,6,0.02341,0.25,35.0,581000.0,23955.243684448786,16
12,6,0.02369,0.0888,135.0,18710.0,1074.6335981963905,16
12,6,0.02361,0.25,35.0,553000.0,22800.774106766028,16
12,6,0.02682,0.1,135.0,13790.0,568.5762657844947,16
12,6,0.02389,0.0888,135.0,19290.0,1107.9520615990273,16
