A,Z,nu,E0,ThetaDeg,cross,error,dataSet,normalization,normError,normCross,normCrossError,ThetaRad,sin2(T/2),cos2(T/2),tan2(T/2),nuel,Ex,R,Veff,Eeff,Ep,Ep_eff,F2foc,Q2,Q2eff,qv2,qv,W2,epsilon,gamma,Sig_R,D_sig_R,Sig_mott,Sig_mott_eff,H,Hcc,Hstar_Sig(nb),Hstar_error(nb),Hstar_Sig(GeV),Hstar_error(GeV),Hcc_Sig(nb),Hcc_error(nb),Hcc_Sig(GeV),Hcc_error(GeV),qvbin,qvcenter,Q2bin,Q2center,RL_qvc_nu,RT_qvc_nu,RL_qvd_nu,RT_qvd_nu,RL_qvc_ex,RT_qvc_ex,RL_qvd_ex,RT_qvd_ex,RL_qvc_w2,RT_qvc_w2,RL_qvd_w2,RT_qvd_w2,RL_q2c_nu,RT_q2c_nu,RL_q2d_nu,RT_q2d_nu,RL_q2c_ex,RT_q2c_ex,RL_q2d_ex,RT_q2d_ex,RL_q2c_w2,RT_q2c_w2,RL_q2d_w2,RT_q2d_w2,bc_qv_nu,bc_qv_ex,bc_qv_w2,bc_q2_nu,bc_q2_ex,bc_q2_w2,sigtot
12,6,0.017011316,0.25,40,212700,6381.0,16,0.9455,0.003127,201107.85,6069.786303339406,0.6981317007977318,0.1169777784405109,0.8830222215594891,0.1324743314317942,0.0013013242966351,0.0157099917033648,2.894010933453939,0.0031,0.2531,0.232988684,0.236088684,1.0249537599999998,0.0272544986560982,0.0279595821784026,0.0282489670504545,0.1680742902720536,0.8843191573451333,0.7888358200568589,0.0001249083988455,1610042654.1266615,51085435.87921719,0.0137525664264707,0.0135841232975807,60.01377347703369,58.5526643436419,12069240.95435327,364270.7802626128,30.996122700109687,0.935517141781156,11775400.437921483,355402.16005706723,30.241483967149595,0.912740826260451,"[0.158,0.186]",0.167,"[0.025,0.035]",0.026,0.02036037,0.008136105,0.02043026,0.0081437,0.02031565,0.008040007,0.02039773,0.008070106,0.0202335,0.007858859,0.02043025,0.008143682,0.02004238,0.008054895,0.02043026,0.0081437,0.01993067,0.007864106,0.02039712,0.008069455,0.01923559,0.006461943,0.02043025,0.008143681,1.0,1.0,1.0,1.0,1.0,1.0,7.340502e+20
12,6,0.017051316,0.25,40,227000,6810.0,16,0.9455,0.003127,214628.5,6477.863144607641,0.6981317007977318,0.1169777784405109,0.8830222215594891,0.1324743314317942,0.0013013242966351,0.0157499917033648,2.894010933453939,0.0031,0.2531,0.232948684,0.2360486839999999,1.0249537599999998,0.0272498195449606,0.0279548450462869,0.0282455924236188,0.1680642508792955,0.8843989563172491,0.788827495425706,0.0001274185726991,1684436542.1256378,53445897.68775159,0.0137525664264707,0.0135841232975807,60.01913874820643,58.55789899068856,12881817.720819425,388795.7668680988,33.08297548993311,0.9985020052798004,12568194.023523,379330.0556974384,32.27752975893578,0.9741922457846298,"[0.158,0.186]",0.167,"[0.025,0.035]",0.026,0.02038733,0.00819327,0.02045553,0.008201563,0.02034258,0.008098076,0.02042284,0.008128419,0.02026155,0.007921427,0.02045552,0.008201545,0.02007447,0.008108748,0.02045553,0.008201563,0.01996308,0.00792,0.02042223,0.008127769,0.01926346,0.006532631,0.02045552,0.008201545,1.0,1.0,1.0,1.0,1.0,1.0,6.8955408e+20
12,6,0.017101316,0.25,40,243400,7302.0,16,0.9455,0.003127,230134.7,6945.867354174008,0.6981317007977318,0.1169777784405109,0.8830222215594891,0.1324743314317942,0.0013013242966351,0.0157999917033648,2.894010933453939,0.0031,0.2531,0.232898684,0.235998684,1.0249537599999998,0.0272439706560385,0.0279489236311422,0.0282413786400741,0.1680517141836826,0.8844987050323937,0.788817059371937,0.0001305559930129,1762727965.9018345,55930025.35912749,0.0137525664264707,0.0135841232975807,60.02586526650648,58.56446174362684,13814034.49534789,416931.6979606748,35.47708673816059,1.0707604659175225,13477714.834031042,406780.9829398303,34.61335342402236,1.0446914853188327,"[0.158,0.186]",0.167,"[0.025,0.035]",0.026,0.02042098,0.008263873,0.02048712,0.008273021,0.02037624,0.008169826,0.02045426,0.00820046,0.02029669,0.007998757,0.02048711,0.008273003,0.02011442,0.008175215,0.02048712,0.008273021,0.02000348,0.007989047,0.02045365,0.008199812,0.01929942,0.006620458,0.02048711,0.008273003,1.0,1.0,1.0,1.0,1.0,1.0,6.3658836e+20
12,6,0.017161316,0.25,40,259800,7794.0,16,0.9455,0.003127,245640.9,7413.871563740375,0.6981317007977318,0.1169777784405109,0.8830222215594891,0.1324743314317942,0.0013013242966351,0.0158599917033648,2.894010933453939,0.0031,0.2531,0.232838684,0.2359386839999999,1.0249537599999998,0.0272369519893321,0.0279418179329686,0.0282363286998205,0.1680366885528888,0.8846184034905673,0.7888044916940901,0.0001343204598551,1828767562.7738144,58025411.82783123,0.0137525664264707,0.0135841232975807,60.03396634025323,58.572365586768754,14746797.522389509,445084.1159085502,37.8726008674795,1.1430612679578007,14387768.597862905,434247.9956447502,36.95054581533464,1.1152320354020662,"[0.158,0.186]",0.167,"[0.025,0.035]",0.026,0.02046124,0.008347324,0.02052499,0.008357473,0.02041657,0.008254682,0.02049198,0.008285645,0.02033893,0.008090238,0.02052499,0.008357455,0.02016207,0.008253717,0.02052499,0.008357473,0.02005177,0.008070685,0.02049138,0.008285,0.01934408,0.006725021,0.02052499,0.008357455,1.0,1.0,1.0,1.0,1.0,1.0,5.7688392e+20
12,6,0.017201316,0.25,40,271500,8145.0,16,0.9455,0.003127,256703.25,7747.752615687113,0.6981317007977318,0.1169777784405109,0.8830222215594891,0.1324743314317942,0.0013013242966351,0.0158999917033648,2.894010933453939,0.0031,0.2531,0.232798684,0.235898684,1.0249537599999998,0.0272322728781945,0.0279370808008529,0.0282329660729848,0.1680266826220908,0.884698202462683,0.7887960863099225,0.0001368298380745,1876076545.9654665,59526490.0888038,0.0137525664264707,0.0135841232975807,60.03938479784963,58.57765212535016,15412305.205608591,465170.3006117845,39.58175207963457,1.194646437894602,15037073.677946797,453845.15747499146,38.618085638941,1.1655613009260068,"[0.158,0.186]",0.167,"[0.025,0.035]",0.026,0.020488,0.008402178,0.0205502,0.008412978,0.0204434,0.008310488,0.02051711,0.008341657,0.02036709,0.008150414,0.02055019,0.00841296,0.02019366,0.008305282,0.0205502,0.008412978,0.02008382,0.008124362,0.02051651,0.008341014,0.01937466,0.006794201,0.02055019,0.00841296,1.0,1.0,1.0,1.0,1.0,1.0,5.3938236e+20
12,6,0.017241316,0.25,40,284800,8544.0,16,0.9455,0.003127,269278.4,8127.292614908618,0.6981317007977318,0.1169777784405109,0.8830222215594891,0.1324743314317942,0.0013013242966351,0.0159399917033648,2.894010933453939,0.0031,0.2531,0.232758684,0.2358586839999999,1.0249537599999998,0.0272275937670569,0.0279323436687372,0.0282296066461491,0.1680166856182715,0.8847780014347988,0.7887876593686581,0.0001393390023466,1932541466.9619105,61318079.33247732,0.0137525664264707,0.0135841232975807,60.04481745888397,58.58295252156935,16168772.373620342,488001.8014971237,41.524504672525616,1.2532821056674277,15775123.72228416,476120.79738809273,40.51353953033513,1.222769411243906,"[0.158,0.186]",0.167,"[0.025,0.035]",0.026,0.02051467,0.008456402,0.02057536,0.008467838,0.02047017,0.008365674,0.02054221,0.008397039,0.02039523,0.008209932,0.02057535,0.008467821,0.02022511,0.008356225,0.02057536,0.008467838,0.02011576,0.008177434,0.02054161,0.008396398,0.01940584,0.006862938,0.02057535,0.008467821,1.0,1.0,1.0,1.0,1.0,1.0,5.0368932e+20
12,6,0.017281316,0.25,40,298200,8946.0,16,0.9455,0.003127,281948.1,8509.686298334795,0.6981317007977318,0.1169777784405109,0.8830222215594891,0.1324743314317942,0.0013013242966351,0.0159799917033648,2.894010933453939,0.0031,0.2531,0.232718684,0.235818684,1.0249537599999998,0.0272229146559192,0.0279276065366215,0.0282262504193133,0.1680066975430246,0.8848578004069145,0.7887792108606241,0.0001418479519221,1987678328.6561856,63067530.258789614,0.0137525664264707,0.0135841232975807,60.05026433196048,58.58826678382105,16931057.932894025,511008.9115970667,43.48220000872208,1.312368771542264,16518850.501991456,498567.7710934656,42.42357236556905,1.2804175395602866,"[0.158,0.186]",0.167,"[0.025,0.035]",0.026,0.02054125,0.008509988,0.02060045,0.008522048,0.02049685,0.008420235,0.02056726,0.008451785,0.02042333,0.008268782,0.02060045,0.008522031,0.0202564,0.008406542,0.02060045,0.008522048,0.02014756,0.008229897,0.02056666,0.008451146,0.01943755,0.006931216,0.02060045,0.008522031,1.0,1.0,1.0,1.0,1.0,1.0,4.6977096e+20
12,6,0.017321316,0.25,40,310800,9324.0,16,0.9455,0.003127,293861.4,8869.25050812359,0.6981317007977318,0.1169777784405109,0.8830222215594891,0.1324743314317942,0.0013013242966351,0.0160199917033648,2.894010933453939,0.0031,0.2531,0.232678684,0.235778684,1.0249537599999998,0.0272182355447816,0.0279228694045057,0.0282228973924776,0.1679967183979426,0.8849375993790302,0.788770740776144,0.0001443566860518,2035661859.7799077,64590011.41554438,0.0137525664264707,0.0135841232975807,60.05572542569298,58.59359492050938,17648059.551609736,532649.2732475583,45.323597511178384,1.3679453655907443,17218395.834373776,519681.2715215157,44.220138780873775,1.334641053066379,"[0.158,0.186]",0.167,"[0.025,0.035]",0.026,0.02056773,0.008562933,0.02062548,0.008575602,0.02052346,0.008474165,0.02059225,0.00850589,0.02045137,0.008326959,0.02062547,0.008575585,0.02028753,0.008456231,0.02062548,0.008575602,0.02017922,0.008281745,0.02059165,0.008505253,0.01946974,0.006999019,0.02062547,0.008575585,1.0,1.0,1.0,1.0,1.0,1.0,4.3758984e+20
12,6,0.017371316,0.25,40,326500,9795.0,16,0.9455,0.003127,308705.75,9317.278928257245,0.6981317007977318,0.1169777784405109,0.8830222215594891,0.1324743314317942,0.0013013242966351,0.0160699917033648,2.894010933453939,0.0031,0.2531,0.232628684,0.235728684,1.0249537599999998,0.0272123866558596,0.0279169479893611,0.0282187106089329,0.1679842570270589,0.8850373480941749,0.7887601228139208,0.0001474922996012,2093029607.8813603,66410246.68052968,0.0137525664264707,0.0135841232975807,60.06257180379424,58.600274615114586,18541661.275619157,559619.7346444298,47.61853791274813,1.4372106767977817,18090241.72526491,545995.103861495,46.45920603554656,1.4022200150744186,"[0.158,0.186]",0.167,"[0.025,0.035]",0.026,0.02060067,0.008628204,0.02065665,0.008641614,0.02055657,0.008540682,0.02062339,0.008572609,0.0204863,0.00839872,0.02065664,0.008641597,0.02032623,0.008517452,0.02065665,0.008641614,0.02021858,0.008345682,0.0206228,0.008571974,0.01951058,0.007083081,0.02065664,0.008641597,1.0,1.0,1.0,1.0,1.0,1.0,3.9974292e+20
12,6,0.017551316,0.25,40,317800,9534.0,16,0.9455,0.003127,300479.9,9069.008402450698,0.6981317007977318,0.1169777784405109,0.8830222215594891,0.1324743314317942,0.0013013242966351,0.0162499917033648,2.894010933453939,0.0031,0.2531,0.232448684,0.2355486839999999,1.0249537599999998,0.0271913306557403,0.0278956308948403,0.0282036795881722,0.1679395116944556,0.8853964434686956,0.7887216185870554,0.0001587776887111,1892456694.8860345,60046219.82716132,0.0137525664264707,0.0135841232975807,60.08740311714689,58.62450137960068,18055056.879899982,544933.1637508475,46.36884461279924,1.3994927494498204,17615484.312092274,531666.0956010811,45.23993805613167,1.365420377061518,"[0.158,0.186]",0.167,"[0.025,0.035]",0.026,0.02071781,0.008854685,0.02076773,0.008870564,0.02067438,0.008771763,0.02073445,0.008804271,0.02061076,0.008648053,0.02076772,0.008870548,0.02046357,0.008729577,0.02076773,0.008870564,0.0203583,0.008567728,0.02073387,0.008803646,0.01966176,0.007378927,0.02076772,0.008870548,1.0,1.0,1.0,1.0,1.0,1.0,2.8400844e+20
